"TAXA_ID","RANK_ID","RANK","TREE","NAME","FAMILY","GENUS","SPECIES","INFRASPECIES_RANK","INFRASPECIES","AUTHOR","ACCEPTED","DOUBTFUL_EXCLUDED_OR_OTHER","VOLUME_ID","VOLUME","VOLUME_REFERENCE","ABIF03_PNID","NSL_ID","NSL_INSTANCE_URI","CREATED_AT","CREATED_BY","UPDATED_AT","UPDATED_BY","URL_NAME"
20,10,"gen."," fam. Mimosaceae | gen. Acacia","Acacia","Mimosaceae","Acacia","","","","Miller","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",40829,567630,"https://biodiversity.org.au/boa/instance/apni/567630",30/JUL/10,"FOA",,"","Acacia"
23,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. abbatiana","Acacia abbatiana","Mimosaceae","Acacia ","abbatiana","","","Pedley","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",42032,603763,"https://biodiversity.org.au/boa/instance/apni/603763",30/JUL/10,"FOA",09/OCT/13,"ghw","Acacia%20abbatiana"
24,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. abbreviata","Acacia abbreviata","Mimosaceae","Acacia ","abbreviata","","","Maslin","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41729,567262,"https://biodiversity.org.au/boa/instance/apni/567262",30/JUL/10,"FOA",06/JUN/12,"brucem","Acacia%20abbreviata"
25,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. abrupta","Acacia abrupta","Mimosaceae","Acacia ","abrupta","","","Maiden & Blakely","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41393,565501,"https://biodiversity.org.au/boa/instance/apni/565501",30/JUL/10,"FOA",,"","Acacia%20abrupta"
26,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. acanthaster","Acacia acanthaster","Mimosaceae","Acacia ","acanthaster","","","Maslin","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41194,565221,"https://biodiversity.org.au/boa/instance/apni/565221",30/JUL/10,"FOA",,"","Acacia%20acanthaster"
27,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. acanthoclada","Acacia acanthoclada","Mimosaceae","Acacia ","acanthoclada","","","F.Muell.","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41189,565216,"https://biodiversity.org.au/boa/instance/apni/565216",30/JUL/10,"FOA",,"","Acacia%20acanthoclada"
28,17,"subsp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. acanthoclada | subsp. acanthoclada","Acacia acanthoclada subsp. acanthoclada","Mimosaceae","Acacia ","acanthoclada ","subsp.","acanthoclada","","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41190,565217,"https://biodiversity.org.au/boa/instance/apni/565217",30/JUL/10,"FOA",,"","Acacia%20acanthoclada%20subsp.%20acanthoclada"
29,17,"subsp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. acanthoclada | subsp. glaucescens","Acacia acanthoclada subsp. glaucescens","Mimosaceae","Acacia ","acanthoclada ","subsp.","glaucescens","Maslin","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41191,565218,"https://biodiversity.org.au/boa/instance/apni/565218",30/JUL/10,"FOA",,"","Acacia%20acanthoclada%20subsp.%20glaucescens"
30,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. acellerata","Acacia acellerata","Mimosaceae","Acacia ","acellerata","","","Maiden & Blakely","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41491,567025,"https://biodiversity.org.au/boa/instance/apni/567025",30/JUL/10,"FOA",,"","Acacia%20acellerata"
31,1,"sp."," fam. Mimosaceae | gen. Acacia | subg. Phyllodineae | sp. acinacea","Acacia acinacea","Mimosaceae","Acacia ","acinacea","","","Lindl.","Y","N",4,"11A_11B_12","Data derived from <i>Flora of Australia</i>  Volumes 11A (2001), 11B (2001) and 12 (1998), products of ABRS, ©Commonwealth of Australia",41354,565460,"https://biodiversity.org.au/boa/instance/apni/565460",30/JUL/10,"FOA",,"","Acacia%20acinacea"
